Word,Freq,Freq(%)
fact,18,0.022494378,
five,18,0.022494378,
horribly,18,0.022494378,
idea,18,0.022494378,
interest,18,0.022494378,
key,18,0.022494378,
marriage,18,0.022494378,
open,18,0.022494378,
painting,18,0.022494378,
paris,18,0.022494378,
says,18,0.022494378,
scarlet,18,0.022494378,
screen,18,0.022494378,
shame,18,0.022494378,
slowly,18,0.022494378,
started,18,0.022494378,
studio,18,0.022494378,
tea,18,0.022494378,
themselves,18,0.022494378,
tired,18,0.022494378,
touch,18,0.022494378,
waiting,18,0.022494378,
while,18,0.022494378,
wrong,18,0.022494378,
alone,17,0.021244688,
bring,17,0.021244688,
child,17,0.021244688,
close,17,0.021244688,
crept,17,0.021244688,
glad,17,0.021244688,
huge,17,0.021244688,
impossible,17,0.021244688,
lost,17,0.021244688,
low,17,0.021244688,
marvellous,17,0.021244688,
months,17,0.021244688,
mouth,17,0.021244688,
muttered,17,0.021244688,
pity,17,0.021244688,
point,17,0.021244688,
smiled,17,0.021244688,
society,17,0.021244688,
stirred,17,0.021244688,
taken,17,0.021244688,
taking,17,0.021244688,
talking,17,0.021244688,
towards,17,0.021244688,
tragedy,17,0.021244688,
use,17,0.021244688,
wanted,17,0.021244688,
watch,17,0.021244688,
write,17,0.021244688,
another,16,0.019995,
common,16,0.019995,
different,16,0.019995,
england,16,0.019995,
evil,16,0.019995,
fantastic,16,0.019995,
followed,16,0.019995,
full,16,0.019995,
hardly,16,0.019995,
horrid,16,0.019995,
hung,16,0.019995,
imagination,16,0.019995,
killed,16,0.019995,
o,16,0.019995,
personality,16,0.019995,
send,16,0.019995,
shallow,16,0.019995,
silly,16,0.019995,
since,16,0.019995,
sitting,16,0.019995,
stay,16,0.019995,
terribly,16,0.019995,
upstairs,16,0.019995,
absurd,15,0.018745312,
acting,15,0.018745312,
agatha,15,0.018745312,
chance,15,0.018745312,
cigarette,15,0.018745312,
english,15,0.018745312,
fear,15,0.018745312,
herself,15,0.018745312,
husband,15,0.018745312,
jim,15,0.018745312,
lines,15,0.018745312,
marry,15,0.018745312,
pale,15,0.018745312,
person,15,0.018745312,
played,15,0.018745312,
purple,15,0.018745312,
saying,15,0.018745312,
sent,15,0.018745312,
shadows,15,0.018745312,
silk,15,0.018745312,
stained,15,0.018745312,
stopped,15,0.018745312,
tears,15,0.018745312,
touched,15,0.018745312,
vulgar,15,0.018745312,
appeared,14,0.017495627,
aunt,14,0.017495627,
box,14,0.017495627,
century,14,0.017495627,
corner,14,0.017495627,
country,14,0.017495627,
die,14,0.017495627,
experience,14,0.017495627,
fascinating,14,0.017495627,
flowers,14,0.017495627,
gilt,14,0.017495627,
grace,14,0.017495627,
intellectual,14,0.017495627,
letter,14,0.017495627,
meet,14,0.017495627,
modern,14,0.017495627,
nearly,14,0.017495627,
question,14,0.017495627,
reached,14,0.017495627,
rich,14,0.017495627,
romantic,14,0.017495627,
silent,14,0.017495627,
sought,14,0.017495627,
standing,14,0.017495627,
telling,14,0.017495627,
ten,14,0.017495627,
thin,14,0.017495627,
twenty,14,0.017495627,
able,13,0.016245939,
alter,13,0.016245939,
arms,13,0.016245939,
bit,13,0.016245939,
breath,13,0.016245939,
case,13,0.016245939,
covered,13,0.016245939,
curiosity,13,0.016245939,
desire,13,0.016245939,
dim,13,0.016245939,
dull,13,0.016245939,
erskine,13,0.016245939,
extremely,13,0.016245939,
father,13,0.016245939,
fond,13,0.016245939,
glass,13,0.016245939,
hidden,13,0.016245939,
juliet,13,0.016245939,
kill,13,0.016245939,
library,13,0.016245939,
looks,13,0.016245939,
lovely,13,0.016245939,
means,13,0.016245939,
moved,13,0.016245939,
note,13,0.016245939,
opera,13,0.016245939,
ran,13,0.016245939,
reality,13,0.016245939,
scene,13,0.016245939,
seven,13,0.016245939,
shoulders,13,0.016245939,
show,13,0.016245939,
sigh,13,0.016245939,
sighed,13,0.016245939,
small,13,0.016245939,
sound,13,0.016245939,
stage,13,0.016245939,
story,13,0.016245939,
strangely,13,0.016245939,
subject,13,0.016245939,
surely,13,0.016245939,
taught,13,0.016245939,
top,13,0.016245939,
uncle,13,0.016245939,
under,13,0.016245939,
valet,13,0.016245939,
visible,13,0.016245939,
whispered,13,0.016245939,
afterwards,12,0.014996251,
beginning,12,0.014996251,
boyhood,12,0.014996251,
bright,12,0.014996251,
caught,12,0.014996251,
conscience,12,0.014996251,
crime,12,0.014996251,
cruel,12,0.014996251,
curtain,12,0.014996251,
determined,12,0.014996251,
discovered,12,0.014996251,
doesn,12,0.014996251,
ear,12,0.014996251,
effect,12,0.014996251,
embroidered,12,0.014996251,
flower,12,0.014996251,
forehead,12,0.014996251,
forgive,12,0.014996251,
forgotten,12,0.014996251,
genius,12,0.014996251,
geoffrey,12,0.014996251,
grave,12,0.014996251,
houses,12,0.014996251,
ideal,12,0.014996251,
ill,12,0.014996251,
interesting,12,0.014996251,
knife,12,0.014996251,
knows,12,0.014996251,
lay,12,0.014996251,
listen,12,0.014996251,
lived,12,0.014996251,
lose,12,0.014996251,
mine,12,0.014996251,
mist,12,0.014996251,
mode,12,0.014996251,
morrow,12,0.014996251,
nowadays,12,0.014996251,
pay,12,0.014996251,
pretty,12,0.014996251,
revealed,12,0.014996251,
rough,12,0.014996251,
seem,12,0.014996251,
selby,12,0.014996251,
side,12,0.014996251,
stop,12,0.014996251,
store,12,0.014996251,
summer,12,0.014996251,
sunlight,12,0.014996251,
trouble,12,0.014996251,
trying,12,0.014996251,
whether,12,0.014996251,
wind,12,0.014996251,
within,12,0.014996251,
wondered,12,0.014996251,
worship,12,0.014996251,
year,12,0.014996251,
yesterday,12,0.014996251,
annoyed,11,0.013746562,
bell,11,0.013746562,
beside,11,0.013746562,
birds,11,0.013746562,
cheeks,11,0.013746562,
closed,11,0.013746562,
comes,11,0.013746562,
continued,11,0.013746562,
cry,11,0.013746562,
curiously,11,0.013746562,
cut,11,0.013746562,
dare,11,0.013746562,
dark,11,0.013746562,
deal,11,0.013746562,
dine,11,0.013746562,
doubt,11,0.013746562,
during,11,0.013746562,
early,11,0.013746562,
eight,11,0.013746562,
escape,11,0.013746562,
finished,11,0.013746562,
floor,11,0.013746562,
foolish,11,0.013746562,
gazing,11,0.013746562,
giving,11,0.013746562,
hall,11,0.013746562,
hat,11,0.013746562,
hate,11,0.013746562,
jealous,11,0.013746562,
laid,11,0.013746562,
lamp,11,0.013746562,
lead,11,0.013746562,
lip,11,0.013746562,
lit,11,0.013746562,
making,11,0.013746562,
mrs,11,0.013746562,
ourselves,11,0.013746562,
piece,11,0.013746562,
placed,11,0.013746562,
public,11,0.013746562,
putting,11,0.013746562,
roses,11,0.013746562,
sailor,11,0.013746562,
scientific,11,0.013746562,
second,11,0.013746562,
shaped,11,0.013746562,
shot,11,0.013746562,
